Genere fotografico,Pubblico / Nessuno / Privato,Artistico / Nessuno / Scientifico,Professionale / Nessuno / Amatoriale,Anno indicativo
Il fotoromanzo,Pubblico,Artistico,Professionale,1945
La moda,Pubblico,Nessuno,Professionale,1892
La pubblicità,Pubblico,Nessuno,Professionale,1895
La cronaca,Pubblico,Nessuno,Professionale,1880
Immagini scientifiche,Pubblico,Scientifico,Professionale,1845
Immagini industriali,Nessuno,Scientifico,Professionale,1860
Riprese aeree civili,Pubblico,Scientifico,Professionale,1910
Riprese aeree militari,Privato,Scientifico,Professionale,1858
Riproduzione opere d'arte,Pubblico,Artistico,Amatoriale,1850
Documentazione eventi artistici,Pubblico,Artistico,Professionale,1875
Fotografia creativa/artistica,Nessuno,Artistico,Nessuno,1885
Immagini editoriali,Pubblico,Nessuno,Professionale,1900
Cartoline,Pubblico,Nessuno,Professionale,1895
Poster,Pubblico,Artistico,Professionale,1895
Calendari,Pubblico,Nessuno,Professionale,1915
Figurine,Pubblico,Nessuno,Professionale,1920
Immagini ricordo,Privato,Nessuno,Amatoriale,1888
Fotografia amatoriale (circoli/concorsi),Pubblico,Artistico,Amatoriale,1890
Ritratto/fototessera/segnaletica,Nessuno,Nessuno,Professionale,1840
